DY
189
21
attr1;attr2;attr3;attr4;attr5;attr6;attr7;attr8;attr9;attr10;attr11;attr12;attr13;attr14;attr15;attr16;attr17;attr18;attr19;attr20;attr21
Paraguay;74.3;12.7;8.5;12224;0.719;16.7;0.531;37.8;0.452;0.966;8855;84;70.5;16.8;59.2;7;61.9;0.7;4.5;0.5;26.3;2
Tonga;70.9;14.4;11.2;6365;0.702;4.5;0.74;0;0;0.95;4311;52;14.7;7.4;45.7;0.1;23.1;0;0.1;0;22.4;2
Libya;72.9;12.9;7.6;15688;0.74;0;0;0;0;0.976;9249;72;5.8;16;33.9;6.8;80.4;0.6;4.6;0.3;28.8;2
Uzbekistan;71.7;12.1;11.8;7142;0.685;0.7;0.723;0;0;0.939;5064;29;23.8;16.4;52.4;33;50.4;3.4;22;1.5;27.8;2
BoliviaPlurinationalStateof;71.5;14.2;9;8554;0.614;17.6;0.573;31.2;0.463;0.945;6481;155;64.9;51.8;63.2;11.5;69.8;1.2;7.1;0.8;25.6;2
Indonesia;71.7;13.6;8.2;11459;0.685;16.2;0.545;23.1;0.551;0.94;7902;177;47.4;17.4;53.1;270.6;56;23.9;183.3;16.4;29.7;2
Philippines;71.2;13.1;9.4;9778;0.668;10.1;0.61;28.1;0.498;1.007;7843;121;54.2;28;46.1;108.1;47.1;10.8;69.4;5.7;25.7;2
Belize;74.6;13.1;9.9;6382;0.747;15.9;0.584;37.9;0.39;0.976;4896;36;68.5;11.1;49.9;0.4;45.9;0;0.3;0;25.5;2
Samoa;73.3;12.7;10.8;6309;0.738;4.9;0.678;0;0;0;4054;43;23.9;10;31.1;0.2;18.1;0;0.1;0;21.8;2
Turkmenistan;68.2;11.2;10.3;14909;0.568;2.9;0.634;26.2;0.558;0;10493;7;24.4;25;51.4;5.9;52;0.7;3.8;0.3;26.9;2
VenezuelaBolivarianRepublicof;72.1;12.8;10.3;7045;0.664;8.8;0.638;25.2;0.481;1.009;5173;125;85.3;22.2;45.4;28.5;88.2;2.4;18.5;2.2;29.6;2
SouthAfrica;64.1;13.8;10.2;12129;0.549;17.3;0.599;57;0.312;0.986;9248;119;67.9;45.3;49.6;58.6;66.9;5.8;38.4;3.2;27.6;2
PalestineStateof;74.1;13.4;9.2;6417;0.732;11.6;0.599;16.6;0.524;0.87;2045;27;52.8;0;17.7;5;76.4;0.7;2.9;0.2;20.8;2
Egypt;72;13.3;7.4;11466;0.707;38.1;0.383;36.5;0.455;0.882;4753;37;53.8;14.9;21.9;100.4;42.7;12.8;61.1;5.3;24.6;2
MarshallIslands;74.1;12.4;10.9;5039;0;4.3;0.677;0;0;0;0;0;0;6.1;0;0.1;77.4;0;0;0;0;2
VietNam;75.4;12.7;8.3;7433;0.742;17.6;0.519;19.1;0.526;0.997;6644;43;30.9;26.7;72.7;96.5;36.6;7.9;66.8;7.3;32.5;2
Gabon;66.5;13;8.7;13930;0.552;23.5;0.498;21.2;0.588;0.916;9925;252;96.2;17.9;43.5;2.2;89.7;0.3;1.3;0.1;22.5;2
Kyrgyzstan;71.5;13;11.1;4864;0.702;3.4;0.706;13.8;0.506;0.957;2971;60;32.8;19.2;44.8;6.4;36.6;0.8;4;0.3;26;3
Morocco;76.7;13.7;5.6;7368;0.759;0;0;0;0;0.835;2975;70;31;18.4;21.5;36.5;63;3.4;24;2.7;29.5;3
